host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 6:29:06:374 MST]
host: server1, empl_id: 006598, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 6:40:52:330 MST]
host: server1, empl_id: 009221, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 6:45:34:914 MST]
host: server1, empl_id: 009221, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 6:52:03:790 MST]
host: server1, empl_id: 030481, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/9/12 7:09:43:495 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 7:18:51:144 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:20:21:275 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:20:21:288 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:20:21:315 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:20:21:347 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 7:23:13:185 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 7:23:13:198 MST]
host: server1, empl_id: 006598, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 7:28:54:556 MST]
host: server1, empl_id: 006598, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 7:29:27:097 MST]
host: server1, empl_id: 023559, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 7:31:30:597 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 7:36:20:695 MST]
host: server1, empl_id: 023559, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 7:40:45:645 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 7:45:09:220 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 7:45:09:231 MST]
host: server1, empl_id: 015768, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:50:19:013 MST]
host: server1, empl_id: 015768, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:50:19:033 MST]
host: server1, empl_id: 015768, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:50:19:066 MST]
host: server1, empl_id: 015768, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 7:50:19:102 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 7:53:01:534 MST]
host: server1, empl_id: 023559, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 7:55:32:308 MST]
host: server1, empl_id: 030729, dest: EMAIL, doc_types: PDF, date_time: [2/9/12 7:56:47:539 MST]
host: server1, empl_id: 030729, dest: REQUEST_SYSTEM, doc_types: CSV, date_time: [2/9/12 7:57:16:625 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:00:26:074 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:03:47:964 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:03:47:977 MST]
host: server1, empl_id: 018709, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 8:05:53:748 MST]
host: server1, empl_id: 009221, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:09:34:933 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:10:03:668 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:10:03:680 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 8:10:33:683 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 8:10:33:701 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 8:10:33:727 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:13:05:743 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:13:05:755 MST]
host: server1, empl_id: 032493, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:15:20:007 MST]
host: server1, empl_id: 032493, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:15:41:365 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:20:14:572 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/9/12 8:21:03:911 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:21:05:747 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:22:52:230 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:22:52:245 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:30:31:766 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:30:54:774 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:36:38:874 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:38:05:997 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 8:38:06:008 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:45:08:719 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:48:42:846 MST]
host: server1, empl_id: 006598, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 8:48:44:716 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 8:51:59:494 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 8:51:59:506 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 8:51:59:529 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 8:51:59:559 MST]
host: server1, empl_id: 029677, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 8:52:20:196 MST]
host: server1, empl_id: 029677, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 8:52:20:221 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 8:56:11:965 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 8:56:11:983 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 8:58:13:334 MST]
host: server1, empl_id: 031490, dest: EMAIL, doc_types: PDF, date_time: [2/9/12 9:00:52:126 MST]
host: server1, empl_id: 022129, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:02:04:179 MST]
host: server1, empl_id: 022129, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:02:04:251 MST]
host: server1, empl_id: C08578, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:05:59:357 MST]
host: server1, empl_id: C08578, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:05:59:375 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:08:33:060 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:08:33:086 MST]
host: server1, empl_id: 019882, dest: REQUEST_SYSTEM, doc_types: PDF|XML, date_time: [2/9/12 9:09:17:823 MST]
host: server1, empl_id: 019882, dest: REQUEST_SYSTEM, doc_types: PDF|XML, date_time: [2/9/12 9:09:17:877 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:10:54:466 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:10:54:491 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:13:07:807 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:13:07:819 MST]
host: server1, empl_id: 029590, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 9:14:51:331 MST]
host: server1, empl_id: 029590, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 9:14:51:353 MST]
host: server1, empl_id: 033283, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:20:54:762 MST]
host: server1, empl_id: 033283, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:22:26:870 MST]
host: server1, empl_id: 022873, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/9/12 9:23:14:294 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:28:15:343 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:28:40:502 MST]
host: server1, empl_id: 023559, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:35:08:931 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:36:02:579 MST]
host: server1, empl_id: 021867, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 9:36:02:591 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:38:18:947 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:38:18:973 MST]
host: server1, empl_id: 023559, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:40:05:472 MST]
host: server1, empl_id: 007839, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 9:45:42:738 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:07:888 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:07:910 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:12:708 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:12:728 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:47:18:825 MST]
host: server1, empl_id: 034319, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:22:709 MST]
host: server1, empl_id: 034319, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:47:22:731 MST]
host: server1, empl_id: 007839, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 9:48:56:857 MST]
host: server1, empl_id: 029777, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 9:50:24:069 MST]
host: server1, empl_id: 029777, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 9:50:24:090 MST]
host: server1, empl_id: 029594, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 9:51:49:811 MST]
host: server1, empl_id: 018709, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:53:06:338 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:53:19:481 MST]
host: server1, empl_id: 009221, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:54:01:033 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 9:54:33:384 MST]
host: server1, empl_id: 031856, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 9:54:39:656 MST]
host: server1, empl_id: 031856, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 9:54:39:667 MST]
host: server1, empl_id: 031856, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 9:55:32:784 MST]
host: server1, empl_id: 031856, dest: REQUEST_SYSTEM, doc_types: CSV|PDF, date_time: [2/9/12 9:55:32:800 MST]
host: server1, empl_id: 026534, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:55:38:802 MST]
host: server1, empl_id: 028365, dest: REQUEST_SYSTEM, doc_types: EXCEL, date_time: [2/9/12 9:56:19:470 MST]
host: server1, empl_id: 029594, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 9:57:50:967 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:59:46:698 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 9:59:46:720 MST]
host: server1, empl_id: 029777, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 10:03:34:158 MST]
host: server1, empl_id: 029777, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 10:03:34:180 MST]
host: server1, empl_id: C08578, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 10:05:43:947 MST]
host: server1, empl_id: C08578, dest: EMAIL, doc_types: CSV|PDF, date_time: [2/9/12 10:05:43:980 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:06:17:842 MST]
host: server1, empl_id: 029694, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 10:10:57:937 MST]
host: server1, empl_id: 029694, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 10:10:57:962 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 10:11:28:016 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 10:11:28:026 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 10:11:28:045 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:13:44:551 MST]
host: server1, empl_id: 030457, dest: REQUEST_SYSTEM, doc_types: PDF, date_time: [2/9/12 10:15:37:321 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:20:32:132 MST]
host: server1, empl_id: 029590, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:20:32:154 MST]
